t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,-0.09031451,-4.232827,-4.581731,0.12046291,0.10795343,1002.23,0.8958,Sustained Chaos,5.0
1,-0.12529875,-4.187922,-4.572097,0.12319815,0.11201459,963.26,0.4730,Sustained Chaos,5.0
2,0.04825990,-4.204450,-4.617150,0.12218425,0.11117056,963.00,1.2458,Sustained Chaos,5.0
3,-0.02400347,-4.285228,-4.691202,0.11734771,0.11113846,908.85,1.4381,Sustained Chaos,5.0
4,-0.20223291,-4.276827,-4.458492,0.11784166,0.12951559,787.21,-0.5090,Sustained Chaos,5.0
5,-0.14148019,-4.190691,-4.358419,0.12302776,0.13904223,940.14,0.2918,Sustained Chaos,5.0
6,0.06396173,-4.146093,-4.398026,0.12580195,0.13683860,966.64,1.0796,Sustained Chaos,5.0
7,-0.04948103,-4.159731,-4.470460,0.12494699,0.13844830,954.04,1.2080,Sustained Chaos,5.0
8,-0.06504301,-3.912769,-4.526207,0.14136860,0.13872066,962.83,1.0927,Sustained Chaos,5.0
9,0.00740878,-4.010690,-4.633511,0.13461386,0.13484429,799.10,1.5052,Sustained Chaos,5.0
10,0.17549770,-4.276225,-4.517742,0.11787715,0.14427006,843.36,-0.2464,Sustained Chaos,5.0
11,-0.05797553,-4.130073,-4.566570,0.12681365,0.13593780,965.50,1.1751,Sustained Chaos,5.0
12,0.06370429,-4.156091,-4.617963,0.12517464,0.14057687,963.54,1.1269,Sustained Chaos,5.0
13,0.21958689,-4.091926,-4.380152,0.12925568,0.16443573,749.01,-0.7221,Sustained Chaos,5.0
14,0.23532712,-4.306314,-4.148805,0.11611697,0.17821415,767.47,-0.7033,Sustained Chaos,5.0
15,-0.01074646,-4.139037,-4.205597,0.12624657,0.16769239,783.31,1.3062,Sustained Chaos,5.0
16,0.07298527,-4.009703,-4.326579,0.13468032,0.16027853,959.90,0.9860,Sustained Chaos,5.0
17,-0.07373401,-4.176463,-4.442055,0.12390606,0.15758006,966.18,1.0040,Sustained Chaos,5.0
18,0.18704626,-4.284095,-4.307623,0.11741420,0.17134142,851.24,-0.2725,Sustained Chaos,5.0
19,0.22644079,-4.414442,-4.147164,0.11000595,0.17643929,794.18,-0.6133,Sustained Chaos,5.0
20,-0.00665118,-4.246927,-4.251446,0.11961663,0.16639818,780.57,1.3305,Sustained Chaos,5.0
21,0.12500092,-4.038650,-4.256206,0.13274504,0.16608624,953.07,0.4909,Sustained Chaos,5.0
22,0.04160840,-4.016768,-4.359681,0.13420537,0.15335128,935.76,1.2111,Sustained Chaos,5.0
23,-0.12682234,-3.897467,-4.382004,0.14245440,0.15009332,949.44,0.4559,Sustained Chaos,5.0
24,-0.22431847,-3.612631,-4.216665,0.16425827,0.15884869,805.29,-0.6120,Sustained Chaos,5.0
