t,y_t,h_mean,vol,ess,loglik,scenario,sigma
0,0.02094764,-4.677321,0.13346076,440.11,1.4309,Double Spike,20.0
1,-0.00803598,-4.753260,0.16290268,305.36,1.6387,Double Spike,20.0
2,-0.00615268,-4.765219,0.24654207,247.26,1.7582,Double Spike,20.0
3,-0.00876646,-4.829204,0.29845953,292.75,1.7583,Double Spike,20.0
4,-0.00677291,-4.922598,0.33486241,257.72,1.8960,Double Spike,20.0
5,0.00418693,-4.974173,0.37083653,224.37,2.0433,Double Spike,20.0
6,-0.00378139,-4.996734,0.37486792,212.86,2.1588,Double Spike,20.0
7,0.01019728,-5.135383,0.37531561,318.80,2.0195,Double Spike,20.0
8,0.00589494,-5.279979,0.35125232,280.49,2.2131,Double Spike,20.0
9,0.01020058,-5.398826,0.29977420,329.07,2.1455,Double Spike,20.0
10,0.02029335,-5.465701,0.24581456,379.37,1.9095,Double Spike,20.0
11,-0.01404619,-5.641594,0.19594914,363.93,2.1359,Double Spike,20.0
12,-0.00515132,-5.801922,0.15827142,323.27,2.4044,Double Spike,20.0
13,-0.00943836,-5.959464,0.12487449,353.29,2.2887,Double Spike,20.0
14,-0.02883937,-5.961193,0.13107184,411.97,1.7265,Double Spike,20.0
15,-0.01322131,-6.029301,0.18919471,388.11,2.1754,Double Spike,20.0
16,0.00959853,-6.057723,0.21877986,367.07,2.3078,Double Spike,20.0
17,-0.00922252,-6.060247,0.23992971,361.16,2.3553,Double Spike,20.0
18,-0.01747154,-6.048799,0.23223604,396.65,2.1220,Double Spike,20.0
19,-0.00315877,-6.175789,0.21714556,323.97,2.5797,Double Spike,20.0
20,0.00490387,-6.279740,0.28792185,334.49,2.5891,Double Spike,20.0
21,-0.01169816,-6.319392,0.27957585,372.22,2.3839,Double Spike,20.0
22,-0.00575371,-6.337699,0.25615013,340.25,2.6438,Double Spike,20.0
23,0.01182780,-6.334212,0.22874197,372.36,2.4208,Double Spike,20.0
24,0.00411499,-6.393732,0.21673085,320.30,2.7395,Double Spike,20.0
25,-0.01805045,-6.396220,0.18216363,390.57,2.1417,Double Spike,20.0
26,-0.00683949,-6.511836,0.18711767,357.37,2.6337,Double Spike,20.0
27,-0.00581733,-6.512452,0.17422068,347.64,2.7046,Double Spike,20.0
28,-0.01434964,-6.512491,0.21940947,383.67,2.3248,Double Spike,20.0
29,-0.00093045,-6.625530,0.21402422,214.36,2.9778,Double Spike,20.0
30,-0.00664147,-6.712914,0.17213449,355.87,2.7166,Double Spike,20.0
31,0.01678050,-6.717407,0.15939614,394.58,2.2274,Double Spike,20.0
32,0.00102564,-6.806455,0.17585646,198.06,2.9948,Double Spike,20.0
33,-0.00494735,-6.860651,0.15668532,357.38,2.7891,Double Spike,20.0
