t,y_t,h_mean,vol,ess,loglik,scenario,sigma
78,0.01862590,-4.853451,0.29722682,370.18,1.6835,Gradual Build,30.0
79,-0.07053874,-4.810542,0.33094865,407.61,0.8285,Gradual Build,30.0
80,-0.04198028,-4.912671,0.28901905,403.45,1.3179,Gradual Build,30.0
81,-0.00213479,-5.120319,0.27975750,230.88,2.1295,Gradual Build,30.0
82,-0.06158343,-5.096788,0.26573610,414.24,0.9879,Gradual Build,30.0
83,-0.01435034,-5.250618,0.24198464,362.71,1.9170,Gradual Build,30.0
84,-0.01912691,-5.346915,0.27950281,373.95,1.8104,Gradual Build,30.0
85,-0.04112528,-5.291286,0.27376074,386.45,1.3045,Gradual Build,30.0
86,-0.03079507,-5.380725,0.22606686,385.93,1.5525,Gradual Build,30.0
87,-0.02863177,-5.399497,0.24089134,389.33,1.6303,Gradual Build,30.0
88,0.00032733,-5.595989,0.29144013,70.15,2.6682,Gradual Build,30.0
89,-0.03981728,-5.557497,0.20677650,398.39,1.3686,Gradual Build,30.0
90,0.05529395,-5.485897,0.23951569,401.25,1.0307,Gradual Build,30.0
91,-0.06127863,-5.384601,0.20042105,395.35,0.9209,Gradual Build,30.0
92,0.02301677,-5.479900,0.17664066,405.66,1.7713,Gradual Build,30.0
93,-0.01821695,-5.547221,0.20045739,403.47,1.9028,Gradual Build,30.0
94,-0.00094500,-5.646043,0.21770468,120.58,2.4925,Gradual Build,30.0
95,0.02521901,-5.671464,0.20845003,406.26,1.7769,Gradual Build,30.0
96,-0.08768032,-5.304342,0.21327141,368.15,0.3915,Gradual Build,30.0
97,0.01352368,-5.477890,0.21328308,362.54,1.9678,Gradual Build,30.0
98,-0.06396453,-5.329922,0.23757079,406.71,0.9102,Gradual Build,30.0
99,-0.02603626,-5.460607,0.16718841,407.85,1.7117,Gradual Build,30.0
100,0.01720503,-5.543620,0.16387302,397.09,1.9173,Gradual Build,30.0
101,-0.01419483,-5.649398,0.17552617,386.40,2.0469,Gradual Build,30.0
102,0.06581262,-5.469981,0.17029700,403.99,0.8753,Gradual Build,30.0
103,-0.02313102,-5.526657,0.17021693,405.60,1.7774,Gradual Build,30.0
104,-0.00015745,-5.655890,0.20476052,68.52,2.6201,Gradual Build,30.0
105,0.05030666,-5.522310,0.19111964,407.80,1.1607,Gradual Build,30.0
106,-0.08717243,-5.254380,0.18941447,377.54,0.4384,Gradual Build,30.0
107,0.02481879,-5.401059,0.21052310,394.69,1.6927,Gradual Build,30.0
108,-0.01279310,-5.530334,0.21992248,358.56,1.9946,Gradual Build,30.0
109,0.00239728,-5.685078,0.20736900,218.13,2.4316,Gradual Build,30.0
110,0.00583875,-5.808511,0.14091203,312.30,2.3401,Gradual Build,30.0
111,-0.02867606,-5.833640,0.14608268,416.08,1.7167,Gradual Build,30.0
112,0.00858928,-5.965134,0.14396720,366.39,2.2653,Gradual Build,30.0
113,0.04273690,-5.842246,0.14858243,426.17,1.3833,Gradual Build,30.0
114,-0.04550725,-5.800989,0.13663000,420.43,1.2989,Gradual Build,30.0
115,0.06105030,-5.642267,0.15355197,409.06,0.9354,Gradual Build,30.0
116,-0.01301901,-5.718686,0.17729664,379.17,2.0907,Gradual Build,30.0
117,0.03099606,-5.735751,0.22027847,416.23,1.6743,Gradual Build,30.0
118,0.08590000,-5.420281,0.23793489,377.47,0.4011,Gradual Build,30.0
119,-0.00718501,-5.548325,0.25395039,318.78,2.1204,Gradual Build,30.0
120,-0.01798619,-5.567345,0.26256314,396.83,1.9106,Gradual Build,30.0
121,0.07007416,-5.358937,0.29566300,393.23,0.7785,Gradual Build,30.0
122,0.01702665,-5.456881,0.22262585,387.25,1.9211,Gradual Build,30.0
123,-0.04877930,-5.432283,0.25073028,411.25,1.2265,Gradual Build,30.0
