t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,-0.12021054,-4.638327,-4.513680,0.09835584,0.11138275,988.40,0.5758,Flash Crash,15.0
1,0.04947261,-4.812545,-4.595177,0.09015071,0.11055735,971.24,1.2293,Flash Crash,15.0
2,-0.05403178,-4.884204,-4.634108,0.08697782,0.11003228,968.35,1.2035,Flash Crash,15.0
3,-0.06782768,-4.959530,-4.677404,0.08376291,0.11142711,971.38,1.0904,Flash Crash,15.0
4,0.03742262,-4.689115,-4.727049,0.09588964,0.11078139,940.06,1.3692,Flash Crash,15.0
5,0.16939293,-4.475493,-4.559504,0.10669868,0.12631696,865.08,-0.1623,Flash Crash,15.0
6,0.03367110,-4.400879,-4.591253,0.11075445,0.12294314,934.45,1.3498,Flash Crash,15.0
7,-0.12208098,-4.350766,-4.571492,0.11356467,0.12989615,958.76,0.4780,Flash Crash,15.0
8,-0.03759812,-4.138417,-4.629462,0.12628572,0.12849034,937.14,1.3429,Flash Crash,15.0
9,-0.02824739,-4.178797,-4.726820,0.12376154,0.12564093,923.19,1.4384,Flash Crash,15.0
10,-0.08079439,-4.221574,-4.779130,0.12114260,0.12545866,970.20,0.9608,Flash Crash,15.0
11,0.20428216,-4.125934,-4.526120,0.12707640,0.13468701,753.08,-0.6591,Flash Crash,15.0
12,0.10378105,-4.135395,-4.493325,0.12647666,0.13995352,965.79,0.6981,Flash Crash,15.0
13,0.00368931,-4.204521,-4.602606,0.12217995,0.13495779,724.87,1.5000,Flash Crash,15.0
14,0.14100514,-3.944514,-4.534037,0.13914247,0.14249009,917.85,0.2186,Flash Crash,15.0
15,0.01053019,-3.914675,-4.609156,0.14123397,0.13518570,824.69,1.4884,Flash Crash,15.0
16,0.00667737,-4.116125,-4.765040,0.12770115,0.13008279,804.49,1.5738,Flash Crash,15.0
17,-0.21421298,-4.213265,-4.525012,0.12164693,0.15108413,713.05,-0.7859,Flash Crash,15.0
18,-0.05706864,-4.118616,-4.547979,0.12754220,0.15740846,956.35,1.1631,Flash Crash,15.0
19,0.00380610,-4.132409,-4.674942,0.12666562,0.14815134,715.49,1.5630,Flash Crash,15.0
20,-0.11730660,-4.501205,-4.660985,0.10533572,0.14436132,941.17,0.5024,Flash Crash,15.0
21,0.06611792,-4.668133,-4.705614,0.09690091,0.13978131,969.78,1.1189,Flash Crash,15.0
22,0.00688818,-4.803010,-4.817807,0.09058155,0.12727101,804.87,1.5977,Flash Crash,15.0
23,0.01372104,-4.680471,-4.948414,0.09630496,0.11862412,864.49,1.6293,Flash Crash,15.0
24,0.04523147,-4.465883,-5.044571,0.10721261,0.11143956,965.99,1.4101,Flash Crash,15.0
25,0.00948362,-4.470079,-5.155910,0.10698788,0.10446647,847.38,1.7398,Flash Crash,15.0
26,-0.05014733,-4.656027,-5.238847,0.09748920,0.09600680,973.91,1.3957,Flash Crash,15.0
27,-0.14979750,-4.649947,-5.058866,0.09778602,0.10509059,789.81,-0.2340,Flash Crash,15.0
28,0.14373675,-4.729072,-4.916313,0.09399290,0.11700305,843.66,-0.0056,Flash Crash,15.0
29,-0.13888609,-4.418267,-4.790738,0.10979573,0.11935586,887.48,0.1566,Flash Crash,15.0
30,0.00429370,-4.417517,-4.866624,0.10983694,0.10521360,812.45,1.6030,Flash Crash,15.0
31,-0.07180359,-4.307740,-4.931504,0.11603425,0.09906614,977.83,1.0789,Flash Crash,15.0
32,-0.09112087,-4.127110,-4.967701,0.12700164,0.09558800,968.70,0.8273,Flash Crash,15.0
33,-0.35518685,-4.076889,-4.083010,0.13023113,0.18498798,562.30,-1.6492,Flash Crash,15.0
34,0.06566466,-3.884080,-3.999487,0.14341110,0.17397705,946.07,0.9146,Flash Crash,15.0
35,0.10934119,-3.886551,-4.036624,0.14323401,0.16370808,965.65,0.6347,Flash Crash,15.0
36,-0.08560857,-3.844914,-4.090998,0.14624721,0.16506742,959.94,0.8232,Flash Crash,15.0
37,0.21474439,-3.654192,-3.994545,0.16088010,0.17888096,869.07,-0.3404,Flash Crash,15.0
38,0.41258401,-3.495390,-3.543682,0.17417498,0.24427997,582.12,-1.7652,Flash Crash,15.0
39,-0.25397623,-3.312839,-3.428582,0.19082104,0.24962904,885.49,-0.3935,Flash Crash,15.0
40,-0.31874722,-3.406471,-3.315974,0.18209341,0.24931329,835.14,-0.8053,Flash Crash,15.0
41,0.15381908,-3.352178,-3.391420,0.18710434,0.22862774,967.90,0.2977,Flash Crash,15.0
42,0.11413393,-3.540380,-3.501961,0.17030065,0.21218058,970.82,0.5508,Flash Crash,15.0
43,-0.37445560,-3.431306,-3.306361,0.17984621,0.23380142,758.18,-1.2079,Flash Crash,15.0
44,0.11464907,-3.281030,-3.389639,0.19388016,0.22193766,970.67,0.5213,Flash Crash,15.0
45,-0.16155398,-3.121940,-3.440523,0.20993237,0.21511386,974.96,0.2734,Flash Crash,15.0
46,0.12964906,-2.959882,-3.552475,0.22765116,0.20717227,979.32,0.4770,Flash Crash,15.0
47,0.09187803,-3.097766,-3.685638,0.21248515,0.18926990,968.19,0.7090,Flash Crash,15.0
48,0.27992159,-3.248819,-3.580161,0.19702798,0.19828412,857.63,-0.6552,Flash Crash,15.0
49,0.14751965,-3.395236,-3.579454,0.18311922,0.19826129,971.33,0.3541,Flash Crash,15.0
50,-0.29146123,-3.170236,-3.486320,0.20492363,0.20334640,853.38,-0.6888,Flash Crash,15.0
51,-0.08923695,-3.102736,-3.588088,0.21195784,0.19729896,960.56,0.6839,Flash Crash,15.0
52,0.00029661,-3.057736,-3.739221,0.21678096,0.18422675,689.00,1.0853,Flash Crash,15.0
53,-0.15532209,-3.194053,-3.777711,0.20249778,0.18327354,968.33,0.3009,Flash Crash,15.0
54,-0.23012376,-3.345203,-3.748429,0.18775794,0.18006074,903.64,-0.3207,Flash Crash,15.0
55,0.18304606,-3.564845,-3.740028,0.16823015,0.18222991,952.79,0.0890,Flash Crash,15.0
56,-0.09587674,-4.729912,-3.803873,0.09395345,0.17433356,972.87,0.7097,Flash Crash,15.0
57,0.10834434,-4.852967,-3.849180,0.08834695,0.17516960,971.73,0.6369,Flash Crash,15.0
58,-0.03025199,-5.386208,-3.946987,0.06767058,0.17299375,888.45,1.0991,Flash Crash,15.0
59,0.05532258,-4.884973,-4.022981,0.08694442,0.16487807,945.87,1.0189,Flash Crash,15.0
60,0.28491420,-4.191300,-3.817464,0.12299028,0.18690032,757.98,-0.9225,Flash Crash,15.0
61,0.00527693,-4.370595,-3.903533,0.11244427,0.17493960,735.88,1.1594,Flash Crash,15.0
62,-0.10911967,-4.327424,-3.966589,0.11489785,0.16854489,971.84,0.6462,Flash Crash,15.0
63,0.13751841,-4.216094,-3.969559,0.12147494,0.17160192,966.23,0.4216,Flash Crash,15.0
64,0.06075751,-4.608053,-4.079170,0.09985595,0.16273715,954.81,1.0047,Flash Crash,15.0
65,-0.10567047,-5.133276,-4.143647,0.07679328,0.16269846,972.45,0.6918,Flash Crash,15.0
66,-0.23868342,-4.411350,-3.991094,0.11017615,0.17540373,824.50,-0.5950,Flash Crash,15.0
67,-0.13937265,-4.730244,-3.970260,0.09393783,0.16880836,964.05,0.4038,Flash Crash,15.0
68,0.20592068,-4.283775,-3.917925,0.11743296,0.18063097,902.98,-0.1946,Flash Crash,15.0
69,-0.15680876,-4.330242,-3.929830,0.11473604,0.17732261,953.78,0.2577,Flash Crash,15.0
70,0.13381024,-4.781415,-3.949652,0.09156488,0.17903137,967.27,0.4478,Flash Crash,15.0
71,0.08549459,-4.294023,-4.022181,0.11683282,0.17439990,965.22,0.8319,Flash Crash,15.0
